year,auth,titl
2008,Casey,Content-based music information retrieval: Current directions and future challenges
2014,Kane,Sound unseen: Acousmatic sound in theory and practice
2003,Sterne,The audible past : Cultural origins of sound reproduction
1976,Derrida,Of grammatology.
1994,Borges,Ficciones
2010,Oliver,The mano controller: A video based hand tracking system
2008,Oliver,The silent drum controller: A new percussive gestural interface
1970,Lucier,I am sitting in a room
2011,Kroher,Acoustic feedbacks in sound reinforcement systems: Investigating the larsen effect
2000,Barrett,Viva la selva
1998,Klein,The wolves of bays mountain
2017,Klein,On my compositional approach
2007,Collins,Audiovisual concatenative synthesis
2012,Sterne,MP3: The meaning of a format
2000,Choi,Voices in ruins — composition with residuals
2000,Tzanetakis,MARSYAS: A framework for audio analysis
2015,Collins,The ubuweb electronic music corpus: An mir investigation of a historical database
2004,Sturm,MATConcat: An application for exploring concatenative sound synthesis using matlab
2006,Collins,Klipp av: Live algorithmic splicing and audiovisual event capture
2016,Nilson,Collected rewritings: Live coding thoughts, 1968-2015.
2006,Collins,Towards autonomous agents for live computer music: Realtime machine listening and interactive music systems
2015,zmölnig,LIVE coding: AN overview
2003,Collins,Live coding in laptop performance
2017,Carter,On the expressive potential of suboptimal speakers
1989,Boie,The radio drum as a synthesizer controller
1988,Dannenberg,A real time scheduler/dispatcher
2003,Wang,ChucK: A concurrent, on-the-fly, audio programming language
2007,Wang,Combining analysis and synthesis in the chuck programming language
1979,Wessel,Timbre space as a musical control structure
1982,Rodet,The CHANT project: Modelization and production, an environment for composers including the FORMES language for describing and controlling sound and musical processes
2001,Didkovsky,Java music specification language, an introduction and overview
1990,Lansky,The architecture and musical logic of cmix
1985,Rosenboom,HMSL (hierarchical music specification language): A real-time environment for formal, perceptual and compositional experimentation
1986,Desain,Graphical programming in computer music: A proposal
1984,Vercoe,The synthetic performer in the context of live performance
1980,Buxton,A microcomputer-based conducting system
1985,Chadabe,Interactive composing: An overview
1991,Puckette,Something digital
1988,Moore,The dysfunctions of midi
1985,Loy,Musicians make a standard: The midi phenomenon
1984,Favreau,Programmation du processeur numerique temps reel, 4X
2010,Cont,The ’c’ of IRCAM: coordinating musical research at IRCAM
2003,Walker,ICAD 2004: The 13th meeting of the international conference on auditory display, boston, ma, usa, 6-9 july 2003, proceedings
2007,Worrall,ICAD 2004: The 13th meeting of the international conference on auditory display, montreal, canada, june 26-29 2007, proceedings
2014,Hildebrandt,<span class="nocase">A Sonification System for Process Monitoring as Secondary Task</span>
2009,Beilharz,Aesthetic sonification toolkit for real-time interaction with data
1998,Lodha,MUSE: A musical data sonification toolkit
1996,Wilson,Listen: A data sonification toolkit
2017,Frid,Sonification of women in sound and music computing - the sound of female authorship in icmc, smc and nime proceedings
