acronym,label
AFLOWLIB,aflowlib
API,api
ArangoDB,arangodb
ASE,ase
ASF,asf
AutoCAD,autocad
BFCC,bfcc
CAC,cac
CAD,cad
CADDC,caddc
CAMP,camp
CASE,case
CC,cc
CCRMA,ccrma
CDIP,cdip
CERL,cerl
Cmix,cmix
CNMAT,cnmat
COBOL,cobol
CODASYL,codasyl
COMPath,compath
CPU,cpu
CSV,csv
CUIDADO,cuidado
CWM,cwm
DARMS,darms
DBMS,dbms
DDL,ddl
DJ,dj
DML,dml
DOM,dom
DSL,dsl
EDM,edm
ER,er
Exasol AG,exasol_ag
FM,fm
FORMES,formes
FORTRAN,fortran
GB,gb
GDIF,gdif
GPU,gpu
GSR,gsr
GTTM,gttm
HCI,hci
HMDB,hmdb
HP,hp
HTML,html
HTTP,http
IBM,ibm
ICloud,icloud
ICMC,icmc
IDMS,idms
IDS,ids
IEM,iem
IFT,ift
IMDB,imdb
IMDBs,imdbs
IMS,ims
iOS,ios
IP,ip
IR,ir
IRCAM,ircam
IRIS,iris
ISMIR,ismir
IXD,ixd
JSON,json
LBDM,lbdm
LFCC,lfcc
LISP,lisp
LPC,lpc
madBPM,madbpm
Max,max
MAX/MSP,max/msp
MetriXML,metrixml
MIDI,midi
MIR,mir
MIT,mit
MongoDB,mongodb
MUSIC-11,music-11
MUSIC-V,music-v
MUSIC-IV,music-iv
MUSIC-N,music-n
MySQL,mysql
NASA,nasa
Neo4j,neo4j
net.loadbang-SQL,net.loadbang-sql
NeXT,next
NIME,nime
NMR,nmr
NoSQL,nosql
NYU,nyu
Oracle,oracle
OS 2200,os_2200
OSC,osc
PostgreSQL,postgresql
PVC,pvc
QCD-Audio,qcd-audio
QED,qed
RAM,ram
RDM,rdm
RM/T,rm/t
ROI,roi
RTcmix,rtcmix
RWC,rwc
SAP HANA,sap_hana
SCORE,score
SCRIVA,scriva
SDIF,sdif
SMIL,smil
SonART,sonart
SPEAR,spear
SQL,sql
SQLite,sqlite
SSSP,sssp
STFT,stft
STRAIGHT,straight
Sybase,sybase
TCP/IP,tcp/ip
timbreID,timbreid
TimesTen,timesten
TurboIMAGE,turboimage
URI,uri
URL,url
VMWare,vmware
WebDNA,webdna
XML,xml
XPlain,xplain
YAML,yaml
Access,access
Apache,apache
AudioGuide,audioguide
BOOST,boost
CAAC,caac
Cassandra,cassandra
CataRT,catart
CMAM,cmam
CouchDB,couchdb
EMI,emi
EsAC,esac
Essentia,essentia
Freesound,freesound
GUI,gui
GUIDO,guido
HMSL,hmsl
IBM-7090,ibm-7090
Looperman,looperman
Marsyas,marsyas
MIMO,mimo
MuseData,musedata
Music21,music21
MUSICOMP,musicomp
MusicXML,musicxml
NC2IF,nc2if
NetworkX,networkx
Objective-C,objective-c
OFX,ofx
OMax,omax
Redis,redis
RISM,rism
Sedna,sedna
Smalltalk,smalltalk
SMC,smc
SonData,sondata
Sparksee,sparksee
Sparsity,sparsity
SQLObject,sqlobject
Telemeta,telemeta
UbuWeb,ubuweb
Unisys,unisys
